iter	Logloss
0	0.6867032832
1	0.6805719222
2	0.6755460992
3	0.6694077371
4	0.6640077352
5	0.6584264894
6	0.6532134611
7	0.6484857988
8	0.6434814802
9	0.6391254513
10	0.6340800992
11	0.6294636773
12	0.6243347515
13	0.6196457575
14	0.6154251437
15	0.6118215086
16	0.6075528354
17	0.603301288
18	0.599604341
19	0.5953815515
20	0.590630541
21	0.5867572105
22	0.5829573634
23	0.579195368
24	0.5742318505
25	0.5703650301
26	0.566882123
27	0.5626006107
28	0.5587604091
29	0.5558646027
30	0.5523245999
31	0.5486406563
32	0.5451379977
33	0.5411400362
34	0.5382604943
35	0.5350748982
36	0.5324837703
37	0.5288560615
38	0.5253476515
39	0.5222083437
40	0.5196238815
41	0.5164745384
42	0.5139061955
43	0.5108539388
44	0.5080191788
45	0.505978744
46	0.5033018024
47	0.5005763545
48	0.4981667412
49	0.4959997766
50	0.4927733367
51	0.490274679
52	0.4880501204
53	0.4857757081
54	0.4836332682
55	0.4813698547
56	0.4793580148
57	0.4771485372
58	0.474387307
59	0.4725865494
60	0.4700489889
61	0.4674404494
62	0.4658993369
63	0.4635042927
64	0.4620944079
65	0.4597680195
66	0.4575859015
67	0.4561230317
68	0.4540955431
69	0.4522217846
70	0.450294212
71	0.4485169575
72	0.4464151116
73	0.4448929849
74	0.4433061316
75	0.4418519488
76	0.4394185602
77	0.4383291629
78	0.4363161103
79	0.4348771483
80	0.4330866105
81	0.4314500385
82	0.4299353554
83	0.4289350934
84	0.4273588424
85	0.4260832203
86	0.4247616477
87	0.4239235629
88	0.4224388766
89	0.421593901
90	0.4203873203
91	0.4191326816
92	0.4172310105
93	0.4162121702
94	0.4147496757
95	0.4135482597
96	0.412172079
97	0.4105644861
98	0.4095593081
99	0.4077444157
100	0.4066018518
101	0.4057752615
102	0.4048481624
103	0.403818498
104	0.4028115187
105	0.4012539543
106	0.4003757535
107	0.3992044058
108	0.3982079956
109	0.3968596696
110	0.3952293351
111	0.3940182905
112	0.3926651937
113	0.3915300268
114	0.3901733505
115	0.3894858637
116	0.3886089545
117	0.3875027185
118	0.3865694297
119	0.3852399986
120	0.3836801472
121	0.3825704911
122	0.3814270695
123	0.3803292247
124	0.3795040326
125	0.3782193486
126	0.3768987576
127	0.3761130464
128	0.3753980962
129	0.3745751594
130	0.3734924657
131	0.3724832186
132	0.3713137686
133	0.3705111369
134	0.369809115
135	0.3690100219
136	0.367898134
137	0.3668859169
138	0.3659858641
139	0.3652537
140	0.3646332463
141	0.3638616676
142	0.3630448924
143	0.3620212627
144	0.3608990227
145	0.3597127764
146	0.3584609712
147	0.3578523752
148	0.3570262656
149	0.3561535507
150	0.3551329832
151	0.3544916133
152	0.3535650058
153	0.3522124072
154	0.3515054608
155	0.3506859284
156	0.3494132219
157	0.3485604649
158	0.3477217426
159	0.3467104965
160	0.3461949438
161	0.3453313327
162	0.3444794412
163	0.3431291812
164	0.3425386907
165	0.3415782771
166	0.3406198984
167	0.33981994
168	0.3391243091
169	0.3379794035
170	0.3374263537
171	0.3366419754
172	0.3360716271
173	0.3354566915
174	0.334730207
175	0.3339465961
176	0.3335620723
177	0.3327160474
178	0.3317990145
179	0.3311043276
180	0.3301144681
181	0.3291890674
182	0.3285023439
183	0.3278336497
184	0.3271612469
185	0.3264616102
186	0.3255943231
187	0.3246581087
188	0.3239566972
189	0.3233486169
190	0.3225903008
191	0.3219554186
192	0.3209972705
193	0.3205254176
194	0.3200838942
195	0.3190529027
196	0.3185445216
197	0.3180018876
198	0.3173465423
199	0.316856862
